Roll No,SGPA,Credits
25AIML061,8.91,22.00
25AIML063,8.91,22.00
25AIML038,8.82,22.00
25AIML002,8.77,22.00
25AIML021,8.68,22.00
25AIML017,8.64,22.00
25AIML048,8.59,22.00
25AIML022,8.55,22.00
25AIML040,8.45,22.00
25AIML037,8.41,22.00
25AIML065,8.32,22.00
25AIML005,8.32,22.00
25AIML039,8.32,22.00
25AIML050,8.32,22.00
25AIML067,8.27,22.00
25AIML014,8.27,22.00
25AIML053,8.27,22.00
25AIML072,8.18,22.00
25AIML049,8.14,22.00
25AIML060,8.14,22.00
25AIML066,8.09,22.00
25AIML013,8.09,22.00
25AIML032,8.09,22.00
25AIML043,8.09,22.00
25AIML010,8.05,22.00
25AIML011,8.05,22.00
25AIML003,8.00,22.00
25AIML030,8.00,22.00
25AIML064,7.95,22.00
25AIML071,7.95,22.00
25AIML031,7.95,22.00
25AIML057,7.95,22.00
25AIML015,7.91,22.00
25AIML018,7.91,22.00
25AIML019,7.91,22.00
25AIML058,7.91,22.00
25AIML068,7.86,22.00
25AIML029,7.73,22.00
25AIML073,7.68,22.00
25AIML077,7.68,22.00
25AIML033,7.68,22.00
25AIML045,7.55,22.00
25AIML006,7.50,22.00
25AIML009,7.50,22.00
25AIML047,7.50,22.00
25AIML056,7.50,22.00
25AIML062,7.41,22.00
25AIML025,7.41,22.00
25AIML026,7.41,22.00
25AIML054,7.41,22.00
25AIML012,7.36,22.00
25AIML001,7.32,22.00
25AIML016,7.32,22.00
25AIML028,7.32,22.00
25AIML034,7.32,22.00
25AIML041,7.32,22.00
25AIML046,7.32,22.00
25AIML055,7.32,22.00
25AIML007,7.27,22.00
25AIML075,7.23,22.00
25AIML042,7.23,22.00
25AIML024,7.18,22.00
25AIML004,7.14,22.00
25AIML036,7.05,22.00
25AIML059,7.05,22.00
25AIML070,7.00,22.00
25AIML035,7.00,22.00
25AIML078,6.95,22.00
25AIML044,6.77,22.00
25AIML008,6.68,22.00
25AIML023,6.50,22.00
25AIML079,6.41,22.00
25AIML080,6.41,22.00
25AIML081,6.41,22.00
25AIML082,6.41,22.00
25AIML083,6.41,22.00
25AIML084,6.41,22.00
25AIML085,6.41,22.00
25AIML086,6.41,22.00
25AIML087,6.41,22.00
25AIML088,6.41,22.00
25AIML089,6.41,22.00
25AIML090,6.41,22.00
25AIML052,6.41,22.00
25AIML074,6.36,22.00
25AIML069,6.23,22.00
25AIML076,6.09,22.00
25AIML051,5.95,22.00
25AIML027,5.50,22.00
25AIML020,3.14,22.00
