Roll No,SGPA,Credits
25CL056,8.40,20.00
25CL057,8.40,20.00
25CL039,7.85,20.00
25CL023,7.70,20.00
25CL069,7.65,20.00
25CL070,7.65,20.00
25CL005,7.60,20.00
25CL065,7.50,20.00
25CL061,7.45,20.00
25CL042,7.25,20.00
25CL021,7.05,20.00
25CL029,7.05,20.00
25CL001,7.00,20.00
25CL002,7.00,20.00
25CL006,7.00,20.00
25CL018,6.95,20.00
25CL059,6.90,20.00
25CL072,6.85,20.00
25CL071,6.75,20.00
25CL064,6.70,20.00
25CL034,6.70,20.00
25CL055,6.70,20.00
25CL013,6.55,20.00
25CL020,6.50,20.00
25CL008,6.45,20.00
25CL014,6.45,20.00
25CL038,6.40,20.00
25CL032,6.30,20.00
25CL062,6.25,20.00
25CL003,6.20,20.00
25CL004,6.20,20.00
25CL016,6.20,20.00
25CL066,6.10,20.00
25CL067,6.10,20.00
25CL049,6.10,20.00
25CL073,6.00,20.00
25CL074,6.00,20.00
25CL075,6.00,20.00
25CL076,6.00,20.00
25CL077,6.00,20.00
25CL078,6.00,20.00
25CL079,6.00,20.00
25CL080,6.00,20.00
25CL081,6.00,20.00
25CL082,6.00,20.00
25CL083,6.00,20.00
25CL084,6.00,20.00
25CL085,6.00,20.00
25CL086,6.00,20.00
25CL087,6.00,20.00
25CL088,6.00,20.00
25CL089,6.00,20.00
25CL090,6.00,20.00
25CL011,6.00,20.00
25CL012,6.00,20.00
25CL024,6.00,20.00
25CL040,6.00,20.00
25CL041,6.00,20.00
25CL045,6.00,20.00
25CL052,6.00,20.00
25CL060,6.00,20.00
25CL046,5.95,20.00
25CL031,5.90,20.00
25CL027,5.75,20.00
25CL028,5.75,20.00
25CL068,5.65,20.00
25CL009,5.55,20.00
25CL058,5.50,20.00
25CL025,5.05,20.00
25CL063,4.85,20.00
25CL026,4.85,20.00
25CL054,4.85,20.00
25CL022,4.60,20.00
25CL050,4.55,20.00
25CL010,4.40,20.00
25CL015,4.20,20.00
25CL051,4.15,20.00
25CL035,4.10,20.00
25CL036,4.10,20.00
25CL033,4.05,20.00
25CL053,3.80,20.00
25CL017,3.55,20.00
25CL048,3.35,20.00
25CL043,3.05,20.00
25CL044,2.60,20.00
25CL030,2.50,20.00
25CL019,2.30,20.00
25CL007,2.20,20.00
25CL037,2.10,20.00
25CL047,1.50,20.00
