Roll No,SGPA,Credits
25CS012,8.82,22.00
25CS017,8.64,22.00
25CS047,8.59,22.00
25CS059,8.59,22.00
25CS064,8.59,22.00
25CS025,8.59,22.00
25CS103,8.50,22.00
25CS083,8.50,22.00
25CS027,8.50,22.00
25CS029,8.50,22.00
25CS095,8.45,22.00
25CS066,8.45,22.00
25CS024,8.45,22.00
25CS036,8.36,22.00
25CS075,8.36,22.00
25CS097,8.32,22.00
25CS098,8.32,22.00
25CS100,8.27,22.00
25CS065,8.27,22.00
25CS032,8.23,22.00
25CS003,8.23,22.00
25CS030,8.23,22.00
25CS053,8.18,22.00
25CS060,8.18,22.00
25CS061,8.18,22.00
25CS020,8.18,22.00
25CS026,8.18,22.00
25CS109,8.14,22.00
25CS004,8.14,22.00
25CS093,8.09,22.00
25CS099,8.09,22.00
25CS041,8.09,22.00
25CS042,8.09,22.00
25CS112,8.05,22.00
25CS019,8.05,22.00
25CS055,8.00,22.00
25CS067,7.95,22.00
25CS082,7.95,22.00
25CS001,7.95,22.00
25CS008,7.95,22.00
25CS092,7.91,22.00
25CS063,7.91,22.00
25CS002,7.91,22.00
25CS021,7.91,22.00
25CS107,7.86,22.00
25CS113,7.86,22.00
25CS114,7.86,22.00
25CS115,7.86,22.00
25CS116,7.86,22.00
25CS117,7.86,22.00
25CS118,7.86,22.00
25CS119,7.86,22.00
25CS120,7.86,22.00
25CS035,7.86,22.00
25CS096,7.82,22.00
25CS043,7.82,22.00
25CS068,7.82,22.00
25CS111,7.77,22.00
25CS037,7.77,22.00
25CS011,7.77,22.00
25CS057,7.73,22.00
25CS058,7.73,22.00
25CS073,7.73,22.00
25CS080,7.73,22.00
25CS081,7.73,22.00
25CS016,7.73,22.00
25CS101,7.68,22.00
25CS046,7.68,22.00
25CS049,7.68,22.00
25CS087,7.68,22.00
25CS033,7.64,22.00
25CS048,7.64,22.00
25CS052,7.64,22.00
25CS034,7.59,22.00
25CS071,7.59,22.00
25CS086,7.59,22.00
25CS091,7.55,22.00
25CS106,7.55,22.00
25CS044,7.55,22.00
25CS056,7.55,22.00
25CS045,7.45,22.00
25CS108,7.36,22.00
25CS031,7.36,22.00
25CS054,7.36,22.00
25CS088,7.36,22.00
25CS090,7.36,22.00
25CS018,7.36,22.00
25CS062,7.32,22.00
25CS010,7.32,22.00
25CS050,7.23,22.00
25CS005,7.23,22.00
25CS079,7.18,22.00
25CS077,7.14,22.00
25CS015,7.14,22.00
25CS089,7.09,22.00
25CS104,7.05,22.00
25CS105,7.05,22.00
25CS072,7.05,22.00
25CS028,7.00,22.00
25CS074,6.95,22.00
25CS013,6.95,22.00
25CS094,6.91,22.00
25CS051,6.86,22.00
25CS085,6.86,22.00
25CS076,6.77,22.00
25CS039,6.68,22.00
25CS038,6.64,22.00
25CS069,6.64,22.00
25CS006,6.41,22.00
25CS022,6.36,22.00
25CS102,6.14,22.00
25CS084,6.05,22.00
25CS014,6.05,22.00
25CS110,5.73,22.00
25CS070,5.55,22.00
25CS023,5.23,22.00
25CS078,5.05,22.00
25CS007,4.73,22.00
25CS009,4.73,22.00
25CS040,4.55,22.00
