Roll No,SGPA,Credits
25DCE031,8.55,22.00
25DCE108,8.55,22.00
25DCE087,8.50,22.00
25DCE105,8.41,22.00
25DCE010,8.36,22.00
25DCE095,8.32,22.00
25DCE021,8.18,22.00
25DCE029,8.18,22.00
25DCE037,8.18,22.00
25DCE077,8.14,22.00
25DCE123,8.09,22.00
25DCE079,8.09,22.00
25DCE090,8.09,22.00
25DCE027,8.09,22.00
25DCE047,8.09,22.00
25DCE052,8.09,22.00
25DCE002,8.05,22.00
25DCE004,8.05,22.00
25DCE060,8.05,22.00
25DCE109,8.05,22.00
25DCE069,8.00,22.00
25DCE016,8.00,22.00
25DCE025,8.00,22.00
25DCE092,8.00,22.00
25DCE107,8.00,22.00
25DCE003,7.95,22.00
25DCE011,7.95,22.00
25DCE024,7.95,22.00
25DCE014,7.91,22.00
25DCE023,7.91,22.00
25DCE028,7.91,22.00
25DCE035,7.91,22.00
25DCE048,7.91,22.00
25DCE100,7.91,22.00
25DCE054,7.86,22.00
25DCE093,7.82,22.00
25DCE122,7.77,22.00
25DCE005,7.77,22.00
25DCE020,7.77,22.00
25DCE056,7.77,22.00
25DCE124,7.73,22.00
25DCE067,7.73,22.00
25DCE101,7.73,22.00
25DCE007,7.68,22.00
25DCE008,7.68,22.00
25DCE009,7.68,22.00
25DCE017,7.68,22.00
25DCE059,7.64,22.00
25DCE116,7.64,22.00
25DCE041,7.59,22.00
25DCE081,7.55,22.00
25DCE036,7.55,22.00
25DCE112,7.55,22.00
25DCE061,7.50,22.00
25DCE062,7.50,22.00
25DCE070,7.50,22.00
25DCE072,7.45,22.00
25DCE082,7.45,22.00
25DCE083,7.45,22.00
25DCE040,7.45,22.00
25DCE043,7.45,22.00
25DCE115,7.45,22.00
25DCE110,7.41,22.00
25DCE064,7.36,22.00
25DCE065,7.36,22.00
25DCE068,7.36,22.00
25DCE026,7.36,22.00
25DCE106,7.36,22.00
25DCE076,7.32,22.00
25DCE006,7.27,22.00
25DCE032,7.27,22.00
25DCE051,7.27,22.00
25DCE057,7.27,22.00
25DCE111,7.27,22.00
25DCE063,7.23,22.00
25DCE033,7.23,22.00
25DCE034,7.23,22.00
25DCE050,7.23,22.00
25DCE120,7.23,22.00
25DCE019,7.18,22.00
25DCE049,7.18,22.00
25DCE118,7.18,22.00
25DCE121,7.14,22.00
25DCE073,7.14,22.00
25DCE074,7.14,22.00
25DCE085,7.14,22.00
25DCE088,7.14,22.00
25DCE046,7.14,22.00
25DCE058,7.14,22.00
25DCE091,7.14,22.00
25DCE022,7.09,22.00
25DCE018,7.00,22.00
25DCE030,7.00,22.00
25DCE044,7.00,22.00
25DCE114,7.00,22.00
25DCE042,6.95,22.00
25DCE117,6.95,22.00
25DCE075,6.91,22.00
25DCE078,6.91,22.00
25DCE098,6.91,22.00
25DCE113,6.91,22.00
25DCE080,6.86,22.00
25DCE013,6.86,22.00
25DCE045,6.86,22.00
25DCE125,6.82,22.00
25DCE126,6.82,22.00
25DCE127,6.82,22.00
25DCE128,6.82,22.00
25DCE129,6.82,22.00
25DCE130,6.82,22.00
25DCE131,6.82,22.00
25DCE132,6.82,22.00
25DCE133,6.82,22.00
25DCE134,6.82,22.00
25DCE135,6.82,22.00
25DCE136,6.82,22.00
25DCE137,6.82,22.00
25DCE138,6.82,22.00
25DCE139,6.82,22.00
25DCE140,6.82,22.00
25DCE141,6.82,22.00
25DCE142,6.82,22.00
25DCE143,6.82,22.00
25DCE144,6.82,22.00
25DCE145,6.82,22.00
25DCE146,6.82,22.00
25DCE147,6.82,22.00
25DCE148,6.82,22.00
25DCE149,6.82,22.00
25DCE150,6.82,22.00
25DCE071,6.82,22.00
25DCE012,6.77,22.00
25DCE084,6.73,22.00
25DCE103,6.73,22.00
25DCE066,6.68,22.00
25DCE097,6.64,22.00
25DCE038,6.55,22.00
25DCE096,6.50,22.00
25DCE039,6.45,22.00
25DCE055,6.45,22.00
25DCE001,6.41,22.00
25DCE104,6.41,22.00
25DCE094,6.36,22.00
25DCE102,6.32,22.00
25DCE119,6.32,22.00
25DCE053,6.14,22.00
25DCE099,6.05,22.00
25DCE015,5.64,22.00
25DCE086,5.09,22.00
25DCE089,1.36,22.00
