Roll No,SGPA,Credits
25DIT032,8.55,22.00
25DIT057,8.36,22.00
25DIT007,8.32,22.00
25DIT036,8.18,22.00
25DIT046,8.18,22.00
25DIT072,8.14,22.00
25DIT018,8.14,22.00
25DIT060,8.14,22.00
25DIT001,8.05,22.00
25DIT052,8.05,22.00
25DIT019,8.00,22.00
25DIT002,7.95,22.00
25DIT029,7.95,22.00
25DIT035,7.95,22.00
25DIT042,7.95,22.00
25DIT076,7.82,22.00
25DIT004,7.73,22.00
25DIT041,7.73,22.00
25DIT017,7.68,22.00
25DIT039,7.68,22.00
25DIT049,7.64,22.00
25DIT059,7.59,22.00
25DIT058,7.55,22.00
25DIT030,7.50,22.00
25DIT033,7.50,22.00
25DIT014,7.45,22.00
25DIT038,7.45,22.00
25DIT043,7.45,22.00
25DIT079,7.41,22.00
25DIT025,7.36,22.00
25DIT081,7.32,22.00
25DIT082,7.32,22.00
25DIT083,7.32,22.00
25DIT084,7.32,22.00
25DIT085,7.32,22.00
25DIT086,7.32,22.00
25DIT087,7.32,22.00
25DIT088,7.32,22.00
25DIT089,7.32,22.00
25DIT090,7.32,22.00
25DIT013,7.32,22.00
25DIT027,7.32,22.00
25DIT075,7.27,22.00
25DIT051,7.27,22.00
25DIT073,7.23,22.00
25DIT022,7.23,22.00
25DIT026,7.18,22.00
25DIT045,7.18,22.00
25DIT065,7.09,22.00
25DIT080,7.09,22.00
25DIT064,7.05,22.00
25DIT055,7.00,22.00
25DIT061,6.91,22.00
25DIT074,6.91,22.00
25DIT024,6.91,22.00
25DIT037,6.91,22.00
25DIT040,6.91,22.00
25DIT054,6.91,22.00
25DIT071,6.86,22.00
25DIT003,6.86,22.00
25DIT077,6.82,22.00
25DIT005,6.77,22.00
25DIT021,6.77,22.00
25DIT028,6.77,22.00
25DIT034,6.77,22.00
25DIT066,6.73,22.00
25DIT015,6.73,22.00
25DIT070,6.68,22.00
25DIT031,6.59,22.00
25DIT063,6.50,22.00
25DIT062,6.45,22.00
25DIT069,6.45,22.00
25DIT067,6.41,22.00
25DIT050,6.36,22.00
25DIT078,6.09,22.00
25DIT011,5.73,22.00
25DIT020,5.64,22.00
25DIT023,5.64,22.00
25DIT010,5.59,22.00
25DIT056,5.41,22.00
25DIT016,4.95,22.00
25DIT047,4.95,22.00
25DIT012,4.82,22.00
25DIT053,4.82,22.00
25DIT009,4.73,22.00
25DIT006,4.64,22.00
25DIT048,4.64,22.00
25DIT044,4.55,22.00
25DIT008,4.23,22.00
25DIT068,3.32,22.00
