Roll No,SGPA,Credits
25EC137,8.77,22.00
25EC141,8.59,22.00
25EC003,8.59,22.00
25EC102,8.45,22.00
25EC142,8.41,22.00
25EC015,8.32,22.00
25EC101,8.32,22.00
25EC030,8.27,22.00
25EC090,8.27,22.00
25EC002,8.23,22.00
25EC119,8.23,22.00
25EC038,8.23,22.00
25EC096,8.14,22.00
25EC108,8.14,22.00
25EC118,8.09,22.00
25EC120,8.09,22.00
25EC147,8.05,22.00
25EC112,8.05,22.00
25EC020,8.00,22.00
25EC114,7.95,22.00
25EC036,7.95,22.00
25EC028,7.91,22.00
25EC109,7.91,22.00
25EC069,7.91,22.00
25EC131,7.86,22.00
25EC143,7.86,22.00
25EC029,7.86,22.00
25EC082,7.86,22.00
25EC043,7.86,22.00
25EC132,7.82,22.00
25EC011,7.82,22.00
25EC104,7.82,22.00
25EC107,7.82,22.00
25EC067,7.82,22.00
25EC047,7.82,22.00
25EC106,7.77,22.00
25EC078,7.77,22.00
25EC148,7.73,22.00
25EC076,7.73,22.00
25EC005,7.68,22.00
25EC010,7.68,22.00
25EC014,7.68,22.00
25EC072,7.68,22.00
25EC080,7.68,22.00
25EC085,7.68,22.00
25EC032,7.68,22.00
25EC049,7.68,22.00
25EC123,7.64,22.00
25EC027,7.64,22.00
25EC073,7.64,22.00
25EC075,7.59,22.00
25EC035,7.59,22.00
25EC012,7.55,22.00
25EC103,7.55,22.00
25EC070,7.55,22.00
25EC134,7.45,22.00
25EC087,7.45,22.00
25EC034,7.45,22.00
25EC059,7.45,22.00
25EC139,7.41,22.00
25EC001,7.41,22.00
25EC017,7.41,22.00
25EC064,7.41,22.00
25EC066,7.41,22.00
25EC039,7.41,22.00
25EC054,7.41,22.00
25EC058,7.41,22.00
25EC122,7.36,22.00
25EC144,7.36,22.00
25EC013,7.36,22.00
25EC088,7.36,22.00
25EC041,7.36,22.00
25EC042,7.36,22.00
25EC052,7.36,22.00
25EC018,7.32,22.00
25EC093,7.32,22.00
25EC105,7.32,22.00
25EC133,7.27,22.00
25EC140,7.27,22.00
25EC025,7.27,22.00
25EC040,7.27,22.00
25EC126,7.23,22.00
25EC138,7.23,22.00
25EC062,7.23,22.00
25EC065,7.23,22.00
25EC053,7.23,22.00
25EC135,7.18,22.00
25EC136,7.18,22.00
25EC006,7.18,22.00
25EC009,7.18,22.00
25EC019,7.18,22.00
25EC098,7.18,22.00
25EC033,7.18,22.00
25EC051,7.18,22.00
25EC048,7.14,22.00
25EC113,7.09,22.00
25EC130,7.05,22.00
25EC149,7.05,22.00
25EC150,7.05,22.00
25EC008,7.05,22.00
25EC026,7.05,22.00
25EC063,7.05,22.00
25EC068,7.05,22.00
25EC079,7.05,22.00
25EC084,7.05,22.00
25EC071,7.00,22.00
25EC077,7.00,22.00
25EC081,7.00,22.00
25EC022,6.95,22.00
25EC091,6.95,22.00
25EC050,6.95,22.00
25EC129,6.91,22.00
25EC016,6.91,22.00
25EC074,6.91,22.00
25EC115,6.82,22.00
25EC007,6.73,22.00
25EC121,6.68,22.00
25EC004,6.64,22.00
25EC125,6.55,22.00
25EC061,6.41,22.00
25EC097,6.18,22.00
25EC127,5.95,22.00
25EC128,5.95,22.00
25EC083,5.91,22.00
25EC146,5.82,22.00
25EC023,5.73,22.00
25EC024,5.73,22.00
25EC057,5.59,22.00
25EC092,5.55,22.00
25EC116,5.45,22.00
25EC044,5.45,22.00
25EC145,5.41,22.00
25EC095,5.41,22.00
25EC046,5.41,22.00
25EC086,5.36,22.00
25EC089,5.23,22.00
25EC060,5.14,22.00
25EC055,4.95,22.00
25EC124,4.91,22.00
25EC021,4.91,22.00
25EC094,4.91,22.00
25EC031,4.82,22.00
25EC037,4.73,22.00
25EC110,4.59,22.00
25EC117,4.09,22.00
25EC100,3.73,22.00
25EC056,3.73,22.00
25EC099,2.45,22.00
25EC111,2.09,22.00
25EC045,1.73,22.00
