Roll No,SGPA,Credits
25EE011,8.60,20.00
25EE043,8.50,20.00
25EE012,8.30,20.00
25EE058,8.25,20.00
25EE004,8.20,20.00
25EE041,8.10,20.00
25EE036,8.05,20.00
25EE001,7.85,20.00
25EE006,7.80,20.00
25EE007,7.80,20.00
25EE019,7.80,20.00
25EE063,7.75,20.00
25EE045,7.70,20.00
25EE015,7.60,20.00
25EE026,7.60,20.00
25EE056,7.60,20.00
25EE029,7.55,20.00
25EE060,7.50,20.00
25EE022,7.45,20.00
25EE033,7.45,20.00
25EE055,7.45,20.00
25EE031,7.40,20.00
25EE009,7.30,20.00
25EE002,7.25,20.00
25EE010,7.25,20.00
25EE040,7.25,20.00
25EE062,7.15,20.00
25EE008,7.15,20.00
25EE021,7.15,20.00
25EE064,7.05,20.00
25EE020,7.05,20.00
25EE057,7.00,20.00
25EE061,6.90,20.00
25EE065,6.90,20.00
25EE066,6.90,20.00
25EE067,6.90,20.00
25EE068,6.90,20.00
25EE069,6.90,20.00
25EE070,6.90,20.00
25EE071,6.90,20.00
25EE072,6.90,20.00
25EE073,6.90,20.00
25EE074,6.90,20.00
25EE075,6.90,20.00
25EE076,6.90,20.00
25EE077,6.90,20.00
25EE078,6.90,20.00
25EE079,6.90,20.00
25EE080,6.90,20.00
25EE081,6.90,20.00
25EE082,6.90,20.00
25EE083,6.90,20.00
25EE084,6.90,20.00
25EE085,6.90,20.00
25EE086,6.90,20.00
25EE087,6.90,20.00
25EE088,6.90,20.00
25EE089,6.90,20.00
25EE090,6.90,20.00
25EE028,6.90,20.00
25EE051,6.90,20.00
25EE049,6.85,20.00
25EE053,6.80,20.00
25EE050,6.70,20.00
25EE027,6.65,20.00
25EE035,6.65,20.00
25EE005,6.60,20.00
25EE013,6.55,20.00
25EE016,6.50,20.00
25EE017,6.50,20.00
25EE048,6.50,20.00
25EE018,6.35,20.00
25EE054,6.25,20.00
25EE046,6.20,20.00
25EE038,6.05,20.00
25EE039,6.05,20.00
25EE032,5.90,20.00
25EE030,5.85,20.00
25EE034,5.70,20.00
25EE052,5.65,20.00
25EE003,5.55,20.00
25EE047,5.25,20.00
25EE042,4.60,20.00
25EE037,4.25,20.00
25EE059,4.10,20.00
25EE023,3.80,20.00
25EE044,3.80,20.00
25EE024,2.40,20.00
25EE025,2.40,20.00
25EE014,0.70,20.00
