Roll No,SGPA,Credits
25CE099,9.18,22.00
25CE065,9.09,22.00
25DCS136,9.00,22.00
25AIML061,8.91,22.00
25AIML063,8.91,22.00
25CE093,8.91,22.00
25DCS055,8.86,22.00
25DCS098,8.86,22.00
25DCS083,8.86,22.00
25CS012,8.82,22.00
25DCS039,8.82,22.00
25AIML038,8.82,22.00
25AIML002,8.77,22.00
25EC137,8.77,22.00
25CE127,8.77,22.00
25CE091,8.77,22.00
25DCS123,8.73,22.00
25CE101,8.73,22.00
25AIML021,8.68,22.00
25CE008,8.68,22.00
25CS017,8.64,22.00
25DCS067,8.64,22.00
25AIML017,8.64,22.00
25ME072,8.60,20.00
25ME090,8.60,20.00
25EE011,8.60,20.00
25CS047,8.59,22.00
25CS059,8.59,22.00
25CS064,8.59,22.00
25CS025,8.59,22.00
25AIML048,8.59,22.00
25EC141,8.59,22.00
25EC003,8.59,22.00
25CE051,8.59,22.00
25DCS073,8.55,22.00
25DCS074,8.55,22.00
25AIML022,8.55,22.00
25DIT032,8.55,22.00
25DCE031,8.55,22.00
25DCE108,8.55,22.00
25CE129,8.55,22.00
25CE082,8.55,22.00
25ME115,8.50,20.00
25CS103,8.50,22.00
25CS083,8.50,22.00
25CS027,8.50,22.00
25CS029,8.50,22.00
25DCS144,8.50,22.00
25EE043,8.50,20.00
25DCE087,8.50,22.00
25CE097,8.50,22.00
25CE074,8.50,22.00
25CS095,8.45,22.00
25CS066,8.45,22.00
25CS024,8.45,22.00
25DCS137,8.45,22.00
25DCS077,8.45,22.00
25AIML040,8.45,22.00
25EC102,8.45,22.00
25CE029,8.45,22.00
25CE113,8.45,22.00
25CE084,8.45,22.00
25IT043,8.41,22.00
25IT072,8.41,22.00
25DCS121,8.41,22.00
25DCS102,8.41,22.00
25DCS009,8.41,22.00
25DCS075,8.41,22.00
25AIML037,8.41,22.00
25EC142,8.41,22.00
25DCE105,8.41,22.00
25ME034,8.40,20.00
25CL056,8.40,20.00
25CL057,8.40,20.00
25CS036,8.36,22.00
25CS075,8.36,22.00
25DCS138,8.36,22.00
25DCS044,8.36,22.00
25DCS015,8.36,22.00
25DIT057,8.36,22.00
25DCE010,8.36,22.00
25CE018,8.36,22.00
25CS097,8.32,22.00
25CS098,8.32,22.00
25IT001,8.32,22.00
25IT044,8.32,22.00
25AIML065,8.32,22.00
25AIML005,8.32,22.00
25AIML039,8.32,22.00
25AIML050,8.32,22.00
25DIT007,8.32,22.00
25EC015,8.32,22.00
25EC101,8.32,22.00
25DCE095,8.32,22.00
25CE100,8.32,22.00
25ME011,8.30,20.00
25EE012,8.30,20.00
25CS100,8.27,22.00
25CS065,8.27,22.00
25IT092,8.27,22.00
25IT016,8.27,22.00
25DCS096,8.27,22.00
25DCS103,8.27,22.00
25DCS108,8.27,22.00
25DCS119,8.27,22.00
25AIML067,8.27,22.00
25AIML014,8.27,22.00
25AIML053,8.27,22.00
25EC030,8.27,22.00
25EC090,8.27,22.00
25CE131,8.27,22.00
25CE139,8.27,22.00
25ME085,8.25,20.00
25EE058,8.25,20.00
25CS032,8.23,22.00
25CS003,8.23,22.00
25CS030,8.23,22.00
25IT017,8.23,22.00
25IT018,8.23,22.00
25IT050,8.23,22.00
25DCS140,8.23,22.00
25DCS056,8.23,22.00
25DCS013,8.23,22.00
25DCS018,8.23,22.00
25EC002,8.23,22.00
25EC119,8.23,22.00
25EC038,8.23,22.00
25CE140,8.23,22.00
25CE009,8.23,22.00
25CE079,8.23,22.00
25CE058,8.23,22.00
25EE004,8.20,20.00
25CS053,8.18,22.00
25CS060,8.18,22.00
25CS061,8.18,22.00
25CS020,8.18,22.00
25CS026,8.18,22.00
25IT093,8.18,22.00
25IT090,8.18,22.00
25DCS086,8.18,22.00
25AIML072,8.18,22.00
25DIT036,8.18,22.00
25DIT046,8.18,22.00
25DCE021,8.18,22.00
25DCE029,8.18,22.00
25DCE037,8.18,22.00
25CE002,8.18,22.00
25CE011,8.18,22.00
25CE054,8.18,22.00
25CS109,8.14,22.00
25CS004,8.14,22.00
25IT006,8.14,22.00
25IT048,8.14,22.00
25DCS038,8.14,22.00
25AIML049,8.14,22.00
25AIML060,8.14,22.00
25DIT072,8.14,22.00
25DIT018,8.14,22.00
25DIT060,8.14,22.00
25EC096,8.14,22.00
25EC108,8.14,22.00
25DCE077,8.14,22.00
25CE122,8.14,22.00
25CE123,8.14,22.00
25CE128,8.14,22.00
25CE081,8.14,22.00
25CE055,8.14,22.00
25CE060,8.14,22.00
25ME109,8.10,20.00
25ME081,8.10,20.00
25EE041,8.10,20.00
25CS093,8.09,22.00
25CS099,8.09,22.00
25CS041,8.09,22.00
25CS042,8.09,22.00
25DCS033,8.09,22.00
25DCS004,8.09,22.00
25AIML066,8.09,22.00
25AIML013,8.09,22.00
25AIML032,8.09,22.00
25AIML043,8.09,22.00
25EC118,8.09,22.00
25EC120,8.09,22.00
25DCE123,8.09,22.00
25DCE079,8.09,22.00
25DCE090,8.09,22.00
25DCE027,8.09,22.00
25DCE047,8.09,22.00
25DCE052,8.09,22.00
25CE142,8.09,22.00
25CE143,8.09,22.00
25CE144,8.09,22.00
25CE145,8.09,22.00
25CE146,8.09,22.00
25CE147,8.09,22.00
25CE148,8.09,22.00
25CE149,8.09,22.00
25CE150,8.09,22.00
25CE063,8.09,22.00
25CE069,8.09,22.00
25ME101,8.05,20.00
25CS112,8.05,22.00
25CS019,8.05,22.00
25IT094,8.05,22.00
25IT013,8.05,22.00
25IT026,8.05,22.00
25IT053,8.05,22.00
25DCS043,8.05,22.00
25DCS107,8.05,22.00
25DCS020,8.05,22.00
25DCS066,8.05,22.00
25AIML010,8.05,22.00
25AIML011,8.05,22.00
25DIT001,8.05,22.00
25DIT052,8.05,22.00
25EE036,8.05,20.00
25EC147,8.05,22.00
25EC112,8.05,22.00
25DCE002,8.05,22.00
25DCE004,8.05,22.00
25DCE060,8.05,22.00
25DCE109,8.05,22.00
25CE130,8.05,22.00
25CE023,8.05,22.00
25CE107,8.05,22.00
25CE072,8.05,22.00
25CE059,8.05,22.00
25CS055,8.00,22.00
25IT100,8.00,22.00
25IT002,8.00,22.00
25IT036,8.00,22.00
25DCS041,8.00,22.00
25DCS029,8.00,22.00
25DCS081,8.00,22.00
25AIML003,8.00,22.00
25AIML030,8.00,22.00
