Roll No,SGPA,Credits
25AIML022,8.53,19.00
25AIML038,8.53,19.00
25AIML021,8.42,19.00
25AIML043,8.42,19.00
25AIML048,8.42,19.00
25AIML061,8.42,19.00
25AIML063,8.21,19.00
25AIML064,8.21,19.00
25AIML017,8.11,19.00
25AIML053,8.11,19.00
25AIML072,8.11,19.00
25AIML002,8.05,19.00
25AIML003,8.05,19.00
25AIML014,7.95,19.00
25AIML037,7.95,19.00
25AIML068,7.95,19.00
25AIML013,7.89,19.00
25AIML071,7.84,19.00
25AIML039,7.74,19.00
25AIML065,7.74,19.00
25AIML067,7.74,19.00
25AIML005,7.68,19.00
25AIML019,7.63,19.00
25AIML030,7.63,19.00
25AIML041,7.58,19.00
25AIML066,7.58,19.00
25AIML006,7.53,19.00
25AIML015,7.53,19.00
25AIML032,7.53,19.00
25AIML036,7.53,19.00
25AIML040,7.53,19.00
25AIML050,7.53,19.00
25AIML057,7.53,19.00
25AIML058,7.47,19.00
25AIML004,7.42,19.00
25AIML010,7.37,19.00
25AIML073,7.37,19.00
25AIML018,7.32,19.00
25AIML031,7.32,19.00
25AIML042,7.32,19.00
25AIML062,7.26,19.00
25AIML029,7.21,19.00
25AIML060,7.21,19.00
25AIML070,7.21,19.00
25AIML009,7.11,19.00
25AIML077,7.00,19.00
25AIML033,6.95,19.00
25AIML049,6.95,19.00
25AIML059,6.89,19.00
25AIML024,6.84,19.00
25AIML034,6.84,19.00
25AIML054,6.84,19.00
25AIML075,6.84,19.00
25AIML046,6.79,19.00
25AIML016,6.74,19.00
25AIML079,6.68,19.00
25AIML001,6.63,19.00
25AIML028,6.63,19.00
25AIML007,6.53,19.00
25AIML012,6.53,19.00
25AIML056,6.53,19.00
25AIML035,6.42,19.00
25AIML047,6.42,19.00
25AIML055,6.42,19.00
25AIML025,6.32,19.00
25AIML026,6.21,19.00
25AIML078,6.21,19.00
25AIML008,6.16,19.00
25AIML045,6.05,19.00
25AIML074,5.95,19.00
25AIML044,5.63,19.00
25AIML023,5.47,19.00
25AIML076,5.42,19.00
25AIML052,5.37,19.00
25AIML069,5.37,19.00
25AIML027,5.05,19.00
25AIML051,4.11,19.00
25AIML020,3.89,19.00

