Roll No,SGPA,Credits
25CE099,8.89,19.00
25CE055,8.74,19.00
25CE029,8.68,19.00
25CE051,8.68,19.00
25CE074,8.68,19.00
25CE127,8.68,19.00
25CE065,8.53,19.00
25CE002,8.47,19.00
25CE018,8.47,19.00
25CE101,8.47,19.00
25CE009,8.37,19.00
25CE069,8.37,19.00
25CE093,8.37,19.00
25CE082,8.32,19.00
25CE008,8.26,19.00
25CE023,8.21,19.00
25CE097,8.21,19.00
25CE105,8.21,19.00
25CE113,8.21,19.00
25CE115,8.21,19.00
25CE131,8.16,19.00
25CE136,8.16,19.00
25CE100,8.11,19.00
25CE104,8.11,19.00
25CE122,8.11,19.00
25CE064,8.05,19.00
25CE079,8.05,19.00
25CE053,8.00,19.00
25CE060,8.00,19.00
25CE021,7.95,19.00
25CE042,7.95,19.00
25CE045,7.95,19.00
25CE054,7.95,19.00
25CE058,7.95,19.00
25CE129,7.95,19.00
25CE140,7.95,19.00
25CE116,7.89,19.00
25CE059,7.84,19.00
25CE063,7.84,19.00
25CE072,7.79,19.00
25CE142,7.79,19.00
25CE011,7.74,19.00
25CE061,7.74,19.00
25CE062,7.74,19.00
25CE084,7.74,19.00
25CE107,7.74,19.00
25CE085,7.68,19.00
25CE033,7.63,19.00
25CE035,7.63,19.00
25CE057,7.63,19.00
25CE135,7.63,19.00
25CE012,7.58,19.00
25CE025,7.58,19.00
25CE102,7.58,19.00
25CE109,7.58,19.00
25CE024,7.53,19.00
25CE027,7.53,19.00
25CE106,7.53,19.00
25CE139,7.53,19.00
25CE007,7.47,19.00
25CE081,7.47,19.00
25CE091,7.42,19.00
25CE095,7.42,19.00
25CE141,7.42,19.00
25CE005,7.37,19.00
25CE128,7.37,19.00
25CE016,7.32,19.00
25CE044,7.32,19.00
25CE090,7.32,19.00
25CE130,7.32,19.00
25CE015,7.26,19.00
25CE022,7.26,19.00
25CE040,7.26,19.00
25CE047,7.26,19.00
25CE075,7.26,19.00
25CE125,7.26,19.00
25CE048,7.21,19.00
25CE070,7.21,19.00
25CE032,7.16,19.00
25CE071,7.16,19.00
25CE103,7.16,19.00
25CE121,7.16,19.00
25CE019,7.11,19.00
25CE036,7.11,19.00
25CE080,7.11,19.00
25CE110,7.11,19.00
25CE013,7.05,19.00
25CE017,7.05,19.00
25CE052,7.05,19.00
25CE087,7.05,19.00
25CE137,7.05,19.00
25CE026,7.00,19.00
25CE066,7.00,19.00
25CE117,7.00,19.00
25CE028,6.95,19.00
25CE067,6.95,19.00
25CE092,6.95,19.00
25CE037,6.89,19.00
25CE039,6.89,19.00
25CE118,6.89,19.00
25CE001,6.84,19.00
25CE010,6.84,19.00
25CE031,6.84,19.00
25CE043,6.84,19.00
25CE089,6.84,19.00
25CE111,6.84,19.00
25CE126,6.84,19.00
25CE138,6.84,19.00
25CE030,6.79,19.00
25CE094,6.79,19.00
25CE006,6.74,19.00
25CE049,6.74,19.00
25CE038,6.68,19.00
25CE050,6.68,19.00
25CE077,6.68,19.00
25CE014,6.63,19.00
25CE086,6.63,19.00
25CE134,6.63,19.00
25CE132,6.58,19.00
25CE108,6.47,19.00
25CE076,6.42,19.00
25CE096,6.42,19.00
25CE034,6.37,19.00
25CE098,6.32,19.00
25CE041,6.26,19.00
25CE020,6.16,19.00
25CE056,6.16,19.00
25CE088,6.16,19.00
25CE073,6.11,19.00
25CE078,6.05,19.00
25CE124,6.05,19.00
25CE119,5.95,19.00
25CE114,5.84,19.00
25CE112,5.53,19.00
25CE046,5.16,19.00
25CE083,5.16,19.00
25CE068,4.95,19.00
25CE003,4.00,19.00
25CE133,3.16,19.00
25CE120,2.74,19.00

