Roll No,SGPA
25CS017,9.11
25CS029,9.00
25CE099,8.89
25CS041,8.79
25CS103,8.79
25CE055,8.74
25IT092,8.74
25CE029,8.68
25CE051,8.68
25CE074,8.68
25CE127,8.68
25CS026,8.68
25CS083,8.68
25CS012,8.63
25CS027,8.63
25CS095,8.63
25IT001,8.63
25CS025,8.58
25CS030,8.58
25CS036,8.58
25AIML022,8.53
25AIML038,8.53
25CE065,8.53
25CS020,8.53
25CS047,8.53
25CS075,8.53
25IT013,8.53
25IT072,8.53
25IT093,8.53
25CE002,8.47
25CE018,8.47
25CE101,8.47
25AIML021,8.42
25AIML043,8.42
25AIML048,8.42
25AIML061,8.42
25CS004,8.42
25CS024,8.42
25CS032,8.42
25CS064,8.42
25CS066,8.42
25CS067,8.42
25CS087,8.42
25CS109,8.42
25CE009,8.37
25CE069,8.37
25CE093,8.37
25CS008,8.37
25CS113,8.37
25CE082,8.32
25CS011,8.32
25CS021,8.32
25CS059,8.32
25IT098,8.32
25CE008,8.26
25CS107,8.26
25AIML063,8.21
25AIML064,8.21
25CE023,8.21
25CE097,8.21
25CE105,8.21
25CE113,8.21
25CE115,8.21
25CS044,8.21
25CS048,8.21
25CS049,8.21
25CS063,8.21
25CS091,8.21
25CS093,8.21
25CS108,8.21
25CS112,8.21
25IT018,8.21
25CE131,8.16
25CE136,8.16
25CS050,8.16
25CS086,8.16
25IT006,8.16
25IT017,8.16
25AIML017,8.11
25AIML053,8.11
25AIML072,8.11
25CE100,8.11
25CE104,8.11
25CE122,8.11
25CS002,8.11
25CS060,8.11
25CS092,8.11
25CS099,8.11
25CS101,8.11
25AIML002,8.05
25AIML003,8.05
25CE064,8.05
25CE079,8.05
25IT044,8.05
25IT090,8.05
25CE053,8.00
25CE060,8.00
25CS045,8.00
25CS052,8.00
25CS057,8.00
25CS065,8.00
25CS071,8.00
25CS100,8.00
25CS106,8.00
25CS111,8.00
25IT002,8.00
25IT050,8.00
25IT053,8.00
25IT100,8.00
25AIML014,7.95
25AIML037,7.95
25AIML068,7.95
25CE021,7.95
25CE042,7.95
25CE045,7.95
25CE054,7.95
25CE058,7.95
25CE129,7.95
25CE140,7.95
25CS034,7.95
25CS053,7.95
25AIML013,7.89
25CE116,7.89
25CS028,7.89
25CS037,7.89
25CS104,7.89
25AIML071,7.84
25CE059,7.84
25CE063,7.84
25CS001,7.84
25CS033,7.84
25CS055,7.84
25CS061,7.84
25IT016,7.84
25IT027,7.84
25CE072,7.79
25CE142,7.79
25CS080,7.79
25AIML039,7.74
25AIML065,7.74
25AIML067,7.74
25CE011,7.74
25CE061,7.74
25CE062,7.74
25CE084,7.74
25CE107,7.74
25CS035,7.74
25CS058,7.74
25CS062,7.74
25CS068,7.74
25CS073,7.74
25CS096,7.74
25IT043,7.74
25IT062,7.74
25IT102,7.74
25AIML005,7.68
25CE085,7.68
25CS003,7.68
25CS016,7.68
25CS076,7.68
25IT031,7.68
25IT080,7.68
25AIML019,7.63
25AIML030,7.63
25CE033,7.63
25CE035,7.63
25CE057,7.63
25CE135,7.63
25CS031,7.63
25CS046,7.63
25IT085,7.63
25AIML041,7.58
25AIML066,7.58
25CE012,7.58
25CE025,7.58
25CE102,7.58
25CE109,7.58
25CS005,7.58
25CS097,7.58
25IT009,7.58
25IT033,7.58
25IT094,7.58
25AIML006,7.53
25AIML015,7.53
25AIML032,7.53
25AIML036,7.53
25AIML040,7.53
25AIML050,7.53
25AIML057,7.53
25CE024,7.53
25CE027,7.53
